Genome ID,azithromycin,cefixime,cefpodoxime,ceftriaxone,ciprofloxacin,erythromycin,levofloxacin,penicillin,spectinomycin,tetracycline
485_14257,S,,,S,S,,,S,S,S
485_13928,S,,,S,R,,,R,S,
485_13146,S,,,S,S,,,R,S,S
485_17671,S,,,S,S,,,S,S,S
485_4798,S,S,,S,R,,,,,
485_5585,S,S,,S,S,,,,,
485_13215,S,,,S,R,,,R,S,S
485_16577,S,,,S,S,,,S,S,S
485_5116,S,S,,S,R,,,,,
485_12888,S,,,S,S,,,R,S,S
485_9012,S,S,,S,R,,,,,
485_15575,S,,,S,S,,,S,S,S
485_13315,S,,,S,S,,,S,S,S
485_9712,S,,,S,S,,,R,S,
485_4216,R,S,,S,R,,,,,
485_5084,S,S,,S,R,,,,,
485_14072,S,,,S,R,,,S,S,S
485_13038,S,,,S,S,,,S,S,S
485_14027,S,,,S,R,,,R,S,
485_7049,S,,,,S,,,,,
485_13131,S,,,S,S,,,S,S,S
485_14990,S,,,S,S,,,R,S,S
485_118,S,R,R,S,R,,,,S,R
485_6773,S,S,,S,S,,,,,
485_17873,,S,,S,R,,R,,,
485_14400,S,,,S,S,,,R,S,S
485_14441,S,,,S,S,,,S,S,S
485_14363,R,,,S,S,,,S,S,S
485_17589,S,,,S,S,,,S,S,S
485_9369,S,S,,S,S,,,,,
485_17624,S,,,S,R,,,R,S,
485_13020,R,,,S,S,,,S,S,S
485_13890,S,,,S,S,,,S,S,S
485_4013,R,S,,S,R,,,,,
485_13091,S,,,S,S,,,S,S,S
485_9187,S,S,,S,S,,,,,
